config,test_accuracy,test_f1
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=3 hidden_size=150,0.7775,0.7859
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=3 hidden_size=200,0.7706,0.7859
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=3 hidden_size=200,0.7867,0.7857
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=1 hidden_size=150,0.7638,0.7854
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=2 hidden_size=100,0.7844,0.7854
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=2 hidden_size=150,0.7867,0.7852
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=2 hidden_size=150,0.7867,0.7852
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=2 hidden_size=150,0.7638,0.785
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=3 hidden_size=100,0.7901,0.785
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=1 hidden_size=100,0.7787,0.7844
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=2 hidden_size=150,0.7844,0.7844
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=2 hidden_size=150,0.7821,0.7841
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=2 hidden_size=100,0.7706,0.784
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=1 hidden_size=150,0.781,0.7837
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=2 hidden_size=100,0.7878,0.7836
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=2 hidden_size=100,0.7821,0.7836
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=1 hidden_size=200,0.7683,0.7833
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=3 hidden_size=150,0.7856,0.7833
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=2 hidden_size=200,0.7878,0.7831
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=3 hidden_size=200,0.7672,0.7829
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=1 hidden_size=150,0.7798,0.7828
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=1 hidden_size=150,0.7569,0.7828
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=3 hidden_size=150,0.7752,0.7827
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=1 hidden_size=100,0.7695,0.7827
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=1 hidden_size=150,0.7557,0.7824
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=1 hidden_size=100,0.7821,0.7821
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=1 hidden_size=200,0.7833,0.782
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=3 hidden_size=100,0.7557,0.782
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=1 hidden_size=150,0.7729,0.7819
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=2 hidden_size=100,0.781,0.7817
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=3 hidden_size=200,0.7924,0.7811
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=3 hidden_size=200,0.7821,0.7811
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=1 hidden_size=150,0.7672,0.781
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=2 hidden_size=200,0.7798,0.7808
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=2 hidden_size=200,0.7901,0.7803
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=2 hidden_size=150,0.7706,0.7802
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=2 hidden_size=100,0.781,0.7802
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=1 hidden_size=100,0.7833,0.78
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=1 hidden_size=150,0.7833,0.78
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=2 hidden_size=200,0.7798,0.7798
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=3 hidden_size=100,0.7856,0.7797
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=1 hidden_size=150,0.7718,0.7796
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=2 hidden_size=100,0.7821,0.7796
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=2 hidden_size=200,0.7706,0.7792
